Classe c 24 sottoreti
Sottoreti create in data: 2021-12-07 orario: 16:16:20

RETE			NET ID			BROADCAST				GATEWAY				PRIMO HOST				ULTIMO HOST
1) 11000000.10101000.00000011.01100111  11000000.10101000.00000011.00000111  11000000.10101000.00000011.01101000  11000000.10101000.00000011.01101001  11000000.10101000.00000011.00000110  
2) 11000000.10101000.00000011.01101111  11000000.10101000.00000011.00001111  11000000.10101000.00000011.01110000  11000000.10101000.00000011.01110001  11000000.10101000.00000011.00001110  
3) 11000000.10101000.00000011.01110111  11000000.10101000.00000011.00010111  11000000.10101000.00000011.01111000  11000000.10101000.00000011.01111001  11000000.10101000.00000011.00010110  
4) 11000000.10101000.00000011.01111111  11000000.10101000.00000011.00011111  11000000.10101000.00000011.10000000  11000000.10101000.00000011.10000001  11000000.10101000.00000011.00011110  
5) 11000000.10101000.00000011.10000111  11000000.10101000.00000011.00100111  11000000.10101000.00000011.10001000  11000000.10101000.00000011.10001001  11000000.10101000.00000011.00100110  
6) 11000000.10101000.00000011.10001111  11000000.10101000.00000011.00101111  11000000.10101000.00000011.10010000  11000000.10101000.00000011.10010001  11000000.10101000.00000011.00101110  
7) 11000000.10101000.00000011.10010111  11000000.10101000.00000011.00110111  11000000.10101000.00000011.10011000  11000000.10101000.00000011.10011001  11000000.10101000.00000011.00110110  
8) 11000000.10101000.00000011.10011111  11000000.10101000.00000011.00111111  11000000.10101000.00000011.10100000  11000000.10101000.00000011.10100001  11000000.10101000.00000011.00111110  
9) 11000000.10101000.00000011.10100111  11000000.10101000.00000011.01000111  11000000.10101000.00000011.10101000  11000000.10101000.00000011.10101001  11000000.10101000.00000011.01000110  
10) 11000000.10101000.00000011.10101111  11000000.10101000.00000011.01001111  11000000.10101000.00000011.10110000  11000000.10101000.00000011.10110001  11000000.10101000.00000011.01001110  
11) 11000000.10101000.00000011.10110111  11000000.10101000.00000011.01010111  11000000.10101000.00000011.10111000  11000000.10101000.00000011.10111001  11000000.10101000.00000011.01010110  
12) 11000000.10101000.00000011.10111111  11000000.10101000.00000011.01011111  11000000.10101000.00000011.11000000  11000000.10101000.00000011.11000001  11000000.10101000.00000011.01011110  
13) 11000000.10101000.00000011.01100000  11000000.10101000.00000011.01100111  11000000.10101000.00000011.01100001  11000000.10101000.00000011.01100010  11000000.10101000.00000011.01100110  
14) 11000000.10101000.00000011.01101000  11000000.10101000.00000011.01101111  11000000.10101000.00000011.01101001  11000000.10101000.00000011.01101010  11000000.10101000.00000011.01101110  
15) 11000000.10101000.00000011.01110000  11000000.10101000.00000011.01110111  11000000.10101000.00000011.01110001  11000000.10101000.00000011.01110010  11000000.10101000.00000011.01110110  
16) 11000000.10101000.00000011.01111000  11000000.10101000.00000011.01111111  11000000.10101000.00000011.01111001  11000000.10101000.00000011.01111010  11000000.10101000.00000011.01111110  
17) 11000000.10101000.00000011.10000000  11000000.10101000.00000011.10000111  11000000.10101000.00000011.10000001  11000000.10101000.00000011.10000010  11000000.10101000.00000011.10000110  
18) 11000000.10101000.00000011.10001000  11000000.10101000.00000011.10001111  11000000.10101000.00000011.10001001  11000000.10101000.00000011.10001010  11000000.10101000.00000011.10001110  
19) 11000000.10101000.00000011.10010000  11000000.10101000.00000011.10010111  11000000.10101000.00000011.10010001  11000000.10101000.00000011.10010010  11000000.10101000.00000011.10010110  
20) 11000000.10101000.00000011.10011000  11000000.10101000.00000011.10011111  11000000.10101000.00000011.10011001  11000000.10101000.00000011.10011010  11000000.10101000.00000011.10011110  
21) 11000000.10101000.00000011.10100000  11000000.10101000.00000011.10100111  11000000.10101000.00000011.10100001  11000000.10101000.00000011.10100010  11000000.10101000.00000011.10100110  
22) 11000000.10101000.00000011.10101000  11000000.10101000.00000011.10101111  11000000.10101000.00000011.10101001  11000000.10101000.00000011.10101010  11000000.10101000.00000011.10101110  
23) 11000000.10101000.00000011.10110000  11000000.10101000.00000011.10110111  11000000.10101000.00000011.10110001  11000000.10101000.00000011.10110010  11000000.10101000.00000011.10110110  
24) 11000000.10101000.00000011.10111000  11000000.10101000.00000011.10111111  11000000.10101000.00000011.10111001  11000000.10101000.00000011.10111010  11000000.10101000.00000011.10111110  

255.255.255.248
Subnet mask CIDR = /29
